Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Brogi, Edi; Schatteman, Gina; Wu, Tiangen; Kim, Elizabeth A; Varticovski, Lyuba; Keyt, Bruce; Isner, Jeffrey M; ",Hypoxia-induced paracrine regulation of vascular endothelial growth factor receptor expression.,The Journal of clinical investigation,97,2,469-476,1996,Am Soc Clin Investig
"Shibuya, Masabumi; ",Structure and function of VEGF/VEGF-receptor system involved in angiogenesis,Cell structure and function,26,1,25-35,2001,Japan Society for Cell Biology
"Ahmed, Asif; Dunk, Caroline; Kniss, Douglas; Wilkes, Mark; ",Role of VEGF receptor-1 (Flt-1) in mediating calcium-dependent nitric oxide release and limiting DNA synthesis in human trophoblast cells,Laboratory Investigation,76,6,779-792,1997,Baltimore [etc.] Williams & Wilkins [etc.]
"Tanaka, Keiji; Yamaguchi, Sachiko; Sawano, Asako; Shibuya, Masabumi; ",Characterization of the extracellular domain in vascular endothelial growth factor receptor‐1 (Flt‐1 tyrosine kinase),Japanese journal of cancer research,88,9,867-876,1997,Wiley Online Library
"Barleon, Bernhard; Sozzani, Silvano; Zhou, Dan; Weich, Herbert A; Mantovani, Alberto; Marme, Dieter; ",Migration of human monocytes in response to vascular endothelial growth factor (VEGF) is mediated via the VEGF receptor flt-1,,,,,1996,
"Suto, Kyoko; Yamazaki, Yasuo; Morita, Takashi; Mizuno, Hiroshi; ",Crystal structures of novel vascular endothelial growth factors (VEGF) from snake venoms: insight into selective VEGF binding to kinase insert domain-containing receptor but not to fms-like tyrosine kinase-1,Journal of Biological Chemistry,280,3,2126-2131,2005,ASBMB
"Yasukawa, Kumi; Terai, Masaru; Shulman, Stanford T; Toyozaki, Tetsuya; Yajima, Shigehiro; Kohno, Yoichi; Rowley, Anne H; ",Systemic production of vascular endothelial growth factor and fms-like tyrosine kinase-1 receptor in acute Kawasaki disease,Circulation,105,6,766-769,2002,Am Heart Assoc
"Takagi, Hitoshi; King, George L; Aiello, Lloyd Paul; ",Identification and characterization of vascular endothelial growth factor receptor (Flt) in bovine retinal pericytes,Diabetes,45,8,1016-1023,1996,Am Diabetes Assoc
"Zeng, Huiyan; Dvorak, Harold F; Mukhopadhyay, Debabrata; ","Vascular permeability factor (VPF)/vascular endothelial growth factor (VEGF) receptor-1 down-modulates VPF/VEGF receptor-2-mediated endothelial cell proliferation, but not migration, through phosphatidylinositol 3-kinase-dependent pathways",Journal of Biological Chemistry,276,29,26969-26979,2001,ASBMB
"Kroll, Jens; Waltenberger, Johannes; ",VEGF-A induces expression of eNOS and iNOS in endothelial cells via VEGF receptor-2 (KDR),Biochemical and biophysical research communications,252,3,743-746,1998,Elsevier
"Yamazaki, Yasuo; Matsunaga, Yukiko; Nakano, Yuta; Morita, Takashi; ",Identification of vascular endothelial growth factor receptor-binding protein in the venom of eastern cottonmouth: a new role of snake venom myotoxic LYS49-phospholipase A2,Journal of Biological Chemistry,280,34,29989-29992,2005,ASBMB
"Whitaker, G Brian; Limberg, Brian J; Rosenbaum, Jan S; ",Vascular endothelial growth factor receptor-2 and neuropilin-1 form a receptor complex that is responsible for the differential signaling potency of VEGF165 and VEGF121,Journal of Biological Chemistry,276,27,25520-25531,2001,ASBMB
"Terman, Bruce I; Dougher-Vermazen, Maureen; Carrion, Miguel E; Dimitrov, Dragan; Armellino, Douglas C; Gospodarowicz, Denis; Böhlen, Peter; ",Identification of the KDR tyrosine kinase as a receptor for vascular endothelial cell growth factor,Biochemical and biophysical research communications,187,3,1579-1586,1992,Elsevier
"Shibuya, Masabumi; Yamaguchi, S; Yamane, A; Ikeda, T; Tojo, A; Matsushime, H; Sato, M; ",Nucleotide sequence and expression of a novel human receptor-type tyrosine kinase gene (flt) closely related to the fms family.,Oncogene,5,4,519-524,1990,
